,ogc_fid,GEOMETRY,in1,id,cultivo,originfid,NDVI_1,SAVI_1,NDVI_2,SAVI_2,NDVI_3,SAVI_3,NDVI_4,SAVI_4,NDVI_5,SAVI_5,NDVI_6,SAVI_6,target_combined,target_compined_maiz_soja_others,target_maiz_others,target_soja_others
0,1,b'\x01\x01\x00\x00\x00\xd8\x0eu\xc8\x9fDP\xc0\x99\xb4\x0e\xeb\xaf\x01A\xc0',014035,3,MAIZ,409,-0.918938491796864,0.4992971455789228,-1.54429734497703,-0.34961491834287284,-0.4919283838376202,-0.05376192414548899,-0.8593523663768385,-0.3196999715789225,-1.2179872047077211,-0.4801116731822961,-1.204942735257905,-0.2683043644589942,MAIZ_3,MAIZ_3,1,0
1,2,b'\x01\x01\x00\x00\x00\xd4Q\xe5\xd6\x9cDP\xc0\x99\xb4\x0e\xeb\xaf\x01A\xc0',014035,3,MAIZ,409,-1.0756228926651923,0.38722938799021955,-1.4654772976674009,-0.3150589090665822,-0.3873099763211926,0.060182417632155226,0.17780604768610603,0.7493872043342706,-0.7362913707828985,0.10464247237481343,-1.0388669901169794,-0.10378228652096802,MAIZ_3,MAIZ_3,1,0
2,3,b'\x01\x01\x00\x00\x00\xd0\x94U\xe5\x99DP\xc0\x99\xb4\x0e\xeb\xaf\x01A\xc0',014035,3,MAIZ,409,-1.0388600386702025,0.41389753437228133,-1.4792331846491091,-0.32621329387653186,-0.45282065638266894,-0.03401718536343273,-0.45770172261149594,0.05490821016628068,-0.958925222988833,-0.17806425777468635,-1.051568856693038,-0.1145631189416733,MAIZ_3,MAIZ_3,1,0
3,4,b'\x01\x01\x00\x00\x00\xdc\xcb\x04\xba\xa2DP\xc0\xa0..\xce\xb5\x01A\xc0',014035,3,MAIZ,409,-0.813022344542843,0.607868234536329,-1.2929655705429015,-0.10000605850638482,-0.401867343998574,0.09207901380515265,-0.21434572724581735,0.017079380499570515,-1.3515709551025004,-0.9495660740875748,-1.4485209073636323,-0.5245513455283775,MAIZ_3,MAIZ_3,1,0
4,5,b'\x01\x01\x00\x00\x00\xd8\x0eu\xc8\x9fDP\xc0\xa0..\xce\xb5\x01A\xc0',014035,3,MAIZ,409,-0.77946140757658,0.619783519383797,-1.301646614982092,-0.14018282704170995,-0.3766127268090621,0.08865018292179534,0.20033807166107948,0.3347562720170618,-1.1789781451931065,-0.6966780352269013,-1.3847036973275986,-0.4553429351882804,MAIZ_3,MAIZ_3,1,0
5,6,b'\x01\x01\x00\x00\x00\xd4Q\xe5\xd6\x9cDP\xc0\xa0..\xce\xb5\x01A\xc0',014035,3,MAIZ,409,-1.0660332595435724,0.41653419717669415,-0.8794260359542515,0.1478009372143872,-0.10235538745152561,0.46424165871977624,0.06395183606722933,0.20755104405624863,-1.1478503680109249,-0.605448490674257,-0.670525855230922,0.1038094157366342,MAIZ_3,MAIZ_3,1,0
6,7,b'\x01\x01\x00\x00\x00\xd0\x94U\xe5\x99DP\xc0\xa0..\xce\xb5\x01A\xc0',014035,3,MAIZ,409,-1.0523896804390442,0.4264881376889561,-1.1902515826599873,-0.09817599660174392,-0.3190722573497444,0.15981641480165396,-0.029286970435009923,0.11804646964062637,-0.9325972738533163,-0.33938932557110607,-0.7870974291228721,0.010731790223871423,MAIZ_3,MAIZ_3,1,0
7,8,b'\x01\x01\x00\x00\x00\xcc\xd7\xc5\xf3\x96DP\xc0\xa0..\xce\xb5\x01A\xc0',014035,3,MAIZ,409,-0.934604597557795,0.5167418401030502,-1.0942254840540449,-0.03388478381878658,-0.39060788431010685,0.049764941360547287,-0.6546543873042974,-0.35008095734408834,-1.1207149342480767,-0.4560527690747413,-0.5988347256148404,0.2166936385571346,MAIZ_3,MAIZ_3,1,0
8,9,b'\x01\x01\x00\x00\x00\xdc\xcb\x04\xba\xa2DP\xc0\xa8\xa8M\xb1\xbb\x01A\xc0',014035,3,MAIZ,409,-1.0228282218513125,0.4813792265792131,-1.275444152150342,-0.1493293260528976,-0.38461210966642856,0.10081652091411235,-0.5889876659930315,-0.26152910468234086,-1.612014374550737,-1.026480481107325,-1.468134074593597,-0.48878891447199047,MAIZ_3,MAIZ_3,1,0
9,10,b'\x01\x01\x00\x00\x00\xd8\x0eu\xc8\x9fDP\xc0\xa8\xa8M\xb1\xbb\x01A\xc0',014035,3,MAIZ,409,-1.0864619459361924,0.425212437793434,-0.998355203568029,0.036312214522067995,-0.3338350677996669,0.10641458976418029,-0.6658940788360775,-0.5012872451835101,-1.5326961471790848,-0.9128112544199766,-1.3461194182427076,-0.3837495319765582,MAIZ_3,MAIZ_3,1,0
